year,date,julian_day,nesters_total,nesters_sandpit,nesters_point,predated_total,predated_sandpit,predated_point,predated_slope,hatched_total,hatched_sandpit,hatched_point,hatched_slope,predators_total,raccoon,skunk,fox,coyote,opossum
2020,1-Jun,153,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,2-Jun,154,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,3-Jun,155,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,4-Jun,156,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,5-Jun,157,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,6-Jun,158,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,7-Jun,159,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,8-Jun,160,22,20,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,9-Jun,161,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,10-Jun,162,30,27,3,3,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,11-Jun,163,2,2,0,3,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,12-Jun,164,59,52,7,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,13-Jun,165,5,5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,14-Jun,166,6,4,2,3,0,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,15-Jun,167,6,6,0,2,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,16-Jun,168,11,6,5,6,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,17-Jun,169,7,3,4,9,6,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,18-Jun,170,1,1,0,11,6,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,19-Jun,171,0,0,0,14,9,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,20-Jun,172,3,1,2,16,10,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,21-Jun,173,5,4,1,2,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,22-Jun,174,1,1,0,6,3,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,23-Jun,175,15,13,2,6,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,24-Jun,176,17,14,3,11,9,2,0,0,0,0,0,6,3,3,0,0,0
2020,25-Jun,177,18,14,4,NA,NA,0,0,0,0,0,0,2,1,1,0,0,0
2020,26-Jun,178,12,7,5,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0
2020,27-Jun,179,6,5,1,32,28,4,0,0,0,0,0,3,1,1,0,1,0
2020,28-Jun,180,52,52,0,9,6,3,0,0,0,0,0,2,1,1,0,0,0
2020,29-Jun,181,3,3,0,22,19,3,0,0,0,0,0,2,1,1,0,0,0
2020,30-Jun,182,1,1,0,21,14,7,0,0,0,0,0,5,4,1,0,0,0
2020,1-Jul,183,10,10,0,6,5,1,0,0,0,0,0,6,2,4,0,0,0
2020,2-Jul,184,10,10,0,9,4,5,0,0,0,0,0,1,0,1,0,0,0
2020,3-Jul,185,2,2,0,19,18,1,0,0,0,0,0,7,4,3,0,0,0
2020,4-Jul,186,0,0,0,20,14,6,0,0,0,0,0,9,4,4,1,0,0
2020,5-Jul,187,0,0,0,8,3,5,0,0,0,0,0,3,0,3,0,0,0
2020,6-Jul,188,0,0,0,16,9,7,0,0,0,0,0,5,3,2,0,0,0
2020,7-Jul,189,3,3,0,9,3,4,2,0,0,0,0,7,4,3,0,0,0
2020,8-Jul,190,10,6,4,6,1,5,0,0,0,0,0,2,0,2,0,0,0
2020,9-Jul,191,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2020,10-Jul,192,0,0,0,10,6,3,1,0,0,0,0,1,1,0,0,0,0
2020,11-Jul,193,NA,NA,NA,10,3,5,2,0,0,0,0,5,1,4,0,0,0
2020,12-Jul,194,NA,NA,NA,5,4,1,0,0,0,0,0,2,0,2,0,0,0
2020,13-Jul,195,NA,NA,NA,4,2,2,0,0,0,0,0,4,2,2,0,0,0
2020,14-Jul,196,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,0,3,0,0,0
2020,15-Jul,197,NA,NA,NA,NA,NA,NA,0,0,0,0,0,6,1,5,0,0,0
2020,16-Jul,198,NA,NA,NA,10,9,1,0,0,0,0,0,2,0,2,0,0,0
2020,17-Jul,199,NA,NA,NA,NA,NA,0,NA,0,0,0,0,4,0,4,0,0,0
2020,18-Jul,200,NA,NA,NA,6,3,0,3,0,0,0,0,2,0,2,0,0,0
2020,19-Jul,201,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,20-Jul,202,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
2020,21-Jul,203,NA,NA,NA,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2020,22-Jul,204,NA,NA,NA,0,0,0,0,0,0,0,0,2,1,1,0,0,0
2020,23-Jul,205,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,24-Jul,206,NA,NA,NA,0,0,0,0,0,0,0,0,2,1,1,0,0,0
2020,25-Jul,207,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,26-Jul,208,NA,NA,NA,2,2,0,0,0,0,0,0,2,0,2,0,0,0
2020,27-Jul,209,NA,NA,NA,11,9,1,1,0,0,0,0,4,0,4,0,0,0
2020,28-Jul,210,NA,NA,NA,7,6,0,1,0,0,0,0,4,0,4,0,0,0
2020,29-Jul,211,NA,NA,NA,4,3,0,1,0,0,0,0,2,0,2,0,0,0
2020,30-Jul,212,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,2,0,0,0
2020,31-Jul,213,NA,NA,NA,12,9,3,0,0,0,0,0,4,0,4,0,0,0
2020,1-Aug,214,NA,NA,NA,2,1,1,0,0,0,0,0,2,0,2,0,0,0
2020,2-Aug,215,0,0,0,5,3,2,0,1,1,0,0,5,0,5,0,0,0
2020,3-Aug,216,0,0,0,2,0,2,0,0,0,0,0,4,0,4,0,0,0
2020,4-Aug,217,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
2020,5-Aug,218,NA,NA,NA,2,0,2,0,2,2,0,0,0,0,0,0,0,0
2020,6-Aug,219,NA,NA,NA,3,2,1,0,2,2,0,0,0,0,0,0,0,0
2020,7-Aug,220,NA,NA,NA,2,2,0,0,4,4,0,0,0,0,0,0,0,0
2020,8-Aug,221,NA,NA,NA,0,0,0,0,4,4,0,0,0,0,0,0,0,0
2020,9-Aug,222,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2020,10-Aug,223,NA,NA,NA,0,0,0,0,6,6,0,0,0,0,0,0,0,0
2020,11-Aug,224,NA,NA,NA,0,0,0,0,15,13,0,2,0,0,0,0,0,0
2020,12-Aug,225,NA,NA,NA,1,0,1,0,15,12,3,0,1,0,1,0,0,0
2020,13-Aug,226,NA,NA,NA,0,0,0,0,12,9,2,1,1,0,1,0,0,0
2020,14-Aug,227,NA,NA,NA,0,0,0,0,3,3,0,0,0,0,0,0,0,0
2020,15-Aug,228,NA,NA,NA,0,0,0,0,5,0,5,0,0,0,0,0,0,0
2020,16-Aug,229,NA,NA,NA,0,0,0,0,3,3,0,0,0,0,0,0,0,0
2020,17-Aug,230,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,18-Aug,231,NA,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,19-Aug,232,NA,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020,20-Aug,233,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,21-Aug,234,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,22-Aug,235,NA,NA,NA,1,1,0,0,0,0,0,0,4,0,4,0,0,0
2020,23-Aug,236,NA,NA,NA,0,0,0,0,6,5,1,0,2,1,1,0,0,0
2020,24-Aug,237,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2020,25-Aug,238,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,26-Aug,239,NA,NA,NA,0,0,0,0,7,3,4,0,4,0,3,0,0,1
2020,27-Aug,240,NA,NA,NA,0,0,0,0,1,0,1,0,1,0,1,0,0,0
2020,28-Aug,241,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,29-Aug,242,NA,NA,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2020,30-Aug,243,NA,NA,NA,0,0,0,0,1,1,0,0,2,0,1,0,1,0
2020,31-Aug,244,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020,1-Sep,245,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,2-Sep,246,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,3-Sep,247,NA,NA,NA,0,0,0,0,2,1,1,0,NA,NA,NA,NA,NA,NA
2020,4-Sep,248,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,5-Sep,249,NA,NA,NA,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA
2020,6-Sep,250,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,7-Sep,251,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,8-Sep,252,NA,NA,NA,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA
2020,9-Sep,253,NA,NA,NA,0,0,0,0,2,0,2,0,NA,NA,NA,NA,NA,NA
2020,10-Sep,254,NA,NA,NA,0,0,0,0,2,0,2,0,NA,NA,NA,NA,NA,NA
2020,11-Sep,255,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,12-Sep,256,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,13-Sep,257,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,14-Sep,258,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,15-Sep,259,NA,NA,NA,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA
2020,16-Sep,260,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,17-Sep,261,NA,NA,NA,0,0,0,0,2,1,1,0,NA,NA,NA,NA,NA,NA
2020,18-Sep,262,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,19-Sep,263,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,20-Sep,264,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,21-Sep,265,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,22-Sep,266,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,23-Sep,267,NA,NA,NA,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA
2020,24-Sep,268,NA,NA,NA,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA
2020,25-Sep,269,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,26-Sep,270,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,27-Sep,271,NA,NA,NA,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA
2020,28-Sep,272,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,29-Sep,273,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,30-Sep,274,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,1-Oct,275,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,2-Oct,276,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,3-Oct,277,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,4-Oct,278,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,5-Oct,279,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,6-Oct,280,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,7-Oct,281,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
2020,8-Oct,282,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA